country,lifeExp
Iceland,76.51141666666666
Sweden,76.17699999999999
Norway,75.843
Netherlands,75.6485
Switzerland,75.56508333333333
Denmark,74.37016666666666
France,74.34891666666667
Spain,74.20341666666667
Italy,74.01383333333334
United Kingdom,73.92258333333334
Greece,73.73316666666666
Belgium,73.64175
Germany,73.44441666666667
Austria,73.10325
Ireland,73.01725
Finland,72.99191666666667
Slovenia,71.60075
Czech Republic,71.51050000000001
Slovak Republic,70.69608333333333
Portugal,70.41983333333333
Montenegro,70.29916666666666
Poland,70.17691666666667
Croatia,70.05591666666666
Bulgaria,69.74375
Hungary,69.39316666666667
Serbia,68.551
Albania,68.43291666666667
Romania,68.29066666666667
Bosnia and Herzegovina,67.70783333333334
Turkey,59.696416666666664
